13.279465347656185, 479.02735562310033
29.872818692694466, 484.49848024316117
53.09646522808936, 490.8814589665654
73.00748236389836, 497.2644376899696
97.892477990271, 504.55927051671733
126.09513740741437, 512.7659574468086
159.2768097063062, 522.7963525835867
192.46351639638277, 533.7386018237082
224.00397716903598, 546.5045592705167
257.20075264148215, 559.2705167173253
285.41851523217986, 570.2127659574469
316.9640103960178, 583.8905775075989
341.8641091959448, 593.9209726443769
365.1229964696332, 606.6869300911854
398.33487511563374, 622.1884498480243
428.2341243620483, 637.6899696048632
456.46195573511557, 650.4559270516718
491.3452522544633, 668.6930091185411
522.895781809486, 683.2826747720364
547.8109837829675, 696.048632218845
571.0799398390253, 710.6382978723404
607.6346542317204, 731.6109422492401
635.8775887783421, 747.112462006079
667.4432215069193, 764.4376899696049
700.6500657617349, 779.0273556231003
725.5753365175858, 793.6170212765958
750.5106760558062, 810.0303951367781
775.4107748557332, 820.0607902735562
798.664627738237, 831.9148936170213
